DATE,age,bmr,body_fat,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20140517,30.2,1679.2903520547945,,0,70.0,2,1.79,,,,,,,,1679.2903520547945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140518,30.202739726027396,1679.2718452054796,,0,70.0,2,1.79,,,,,,,,1679.2718452054796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140519,30.205479452054796,1679.2533383561645,,0,70.0,2,1.79,,,,,,,,1679.2533383561645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140520,30.208219178082192,1679.2348315068493,,0,70.0,2,1.79,,,,,,,,1679.2348315068493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140521,30.21095890410959,1679.2163246575344,,0,70.0,2,1.79,,,,,,,,1679.2163246575344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140522,30.213698630136985,1679.1978178082193,,0,70.0,2,1.79,,,,,,,,1679.1978178082193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140523,30.216438356164385,1679.1793109589041,,0,70.0,2,1.79,,,,,,,,1679.1793109589041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140524,30.21917808219178,1679.1608041095892,,0,70.0,2,1.79,,,,,,,,1679.1608041095892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140525,30.221917808219178,1679.142297260274,,0,70.0,2,1.79,,,,,,,,1679.142297260274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140526,30.224657534246575,1679.123790410959,,0,70.0,2,1.79,,,,,,,,1679.123790410959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140527,30.22739726027397,1679.105283561644,,0,70.0,2,1.79,,,,,,,,1679.105283561644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140528,30.23013698630137,1679.0867767123289,,0,70.0,2,1.79,,,,,,,,1679.0867767123289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
